,Unnamed: 0,id,standard_smiles,mol,rule_of_five,rule_of_ghose,rule_of_veber,rule_of_reos,alerts_BMS,alerts_PAINS,alerts_SureChEMBL,alerts_Chelator,alerts_AlphaScreen-Hitters,alerts_Frequent-Hitter,filters_NIBR,filter_complexity,filter_bredt,filter_molecular_graph,cluster,smiles
1620,2477,compound_0232,CCOC(=O)Nc1ccc(S(=O)(=O)N(CC)CC)cc1,<rdkit.Chem.rdchem.Mol object at 0x7352cff07140>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,456,CCOC(=O)Nc1ccc(S(=O)(=O)N(CC)CC)cc1
1621,2480,compound_1499,CCOc1ccc(N2CC(C(=O)NC3CCCCC3)CC2=O)cc1,<rdkit.Chem.rdchem.Mol object at 0x7352cff07290>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,114,CCOc1ccc(N2CC(C(=O)NC3CCCCC3)CC2=O)cc1
1622,2481,compound_0861,Cc1cccc(N2CCN(C(=O)c3ccc4c(c3)OCO4)CC2)c1C,<rdkit.Chem.rdchem.Mol object at 0x7352cff07300>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,455,Cc1cccc(N2CCN(C(=O)c3ccc4c(c3)OCO4)CC2)c1C
1623,2482,compound_1949,Cn1c(NC(=O)c2ccc(Br)cc2)cc(=O)n(C)c1=O,<rdkit.Chem.rdchem.Mol object at 0x7352cff07370>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,111,Cn1c(NC(=O)c2ccc(Br)cc2)cc(=O)n(C)c1=O
1624,2483,compound_0595,N#CCn1cnc2c(nnn2-c2ccc(Cl)cc2)c1=O,<rdkit.Chem.rdchem.Mol object at 0x7352cff073e0>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,454,N#CCn1cnc2c(nnn2-c2ccc(Cl)cc2)c1=O
1625,2484,compound_1847,c1ccc(-n2ncc3c(N4CCOCC4)ncnc32)cc1,<rdkit.Chem.rdchem.Mol object at 0x7352cff07450>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,453,c1ccc(-n2ncc3c(N4CCOCC4)ncnc32)cc1
1626,2485,compound_0741,COc1cccc(C(=O)Nc2nnc(-c3cccs3)o2)c1OC,<rdkit.Chem.rdchem.Mol object at 0x7352cff074c0>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,452,COc1cccc(C(=O)Nc2nnc(-c3cccs3)o2)c1OC
1627,2487,compound_0494,O=C(OC1CCCCC1=O)c1ccc2c(c1)OCCO2,<rdkit.Chem.rdchem.Mol object at 0x7352cff075a0>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,451,O=C(OC1CCCCC1=O)c1ccc2c(c1)OCCO2
1628,2489,compound_2226,CCOc1ncccc1C(=O)OCC(=O)Nc1cccc(C)c1C,<rdkit.Chem.rdchem.Mol object at 0x7352cff07680>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,113,CCOc1ncccc1C(=O)OCC(=O)Nc1cccc(C)c1C
1629,2491,compound_2457,COC(=O)c1cc(-c2ccc(F)cc2)nc2c1c(C)nn2C,<rdkit.Chem.rdchem.Mol object at 0x7352cff07760>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,112,COC(=O)c1cc(-c2ccc(F)cc2)nc2c1c(C)nn2C
