id,standard_smiles,syba_score,mce18
compound_0282,CC1CCc2c(sc(NC(=O)C3CCCO3)c2C(N)=O)C1,105.03783544314038,76.0952380952381
compound_1789,CCOC(=O)C1=C(C)Nc2ncnn2C1c1ccc(C)o1,71.04082368566141,69.19298245614036
compound_2149,COc1ccc2c(c1)C(O)(CC(=O)c1ccc(C)cc1)C(=O)N2,88.85169138675799,77.35177865612647
compound_0014,O=C(CC1(O)C(=O)Nc2ccccc21)c1cccc(-n2cnnn2)c1,93.1879926182162,111.57473684210524
compound_1068,COc1ccc(F)cc1S(=O)(=O)n1cnc2cc(C)c(C)cc21,108.05681502018145,60.0
compound_2608,CC(OC(=O)c1ccco1)C(=O)N1c2ccccc2CC1C,91.72869408631703,70.38842975206612
compound_2489,O=C(Nc1cccnc1)c1cccc(S(=O)(=O)N2CCCC2)c1,161.37683822911345,55.7304347826087
compound_1385,Cc1csc2nc(-c3ccc(NS(=O)(=O)N(C)C)cc3)cn12,105.80259845274,57.0
compound_1974,CCOC(=O)C(C)Oc1ccc2c3c(c(=O)oc2c1C)CCC3,131.04962557642784,75.25083612040135
compound_0146,O=C(c1cccs1)N1CCC(c2nc3ccccc3s2)CC1,137.89101216010238,82.67355371900827
compound_1961,O=C(NC1CCCc2ccccc21)c1cc2ccccc2oc1=O,127.8062772826415,105.55555555555556
compound_0116,Cc1nn2c(=O)c3c([nH]c2c1-c1ccccc1)CCCC3,67.8319593369885,85.88744588744589
compound_2531,COc1ccc(-c2cc(C(F)(F)F)n3nc(N)nc3n2)cc1,80.91980994112551,57.0
compound_1890,Cc1ccc(NC(=O)C2CC(=O)N(Cc3ccco3)C2)cc1,137.94759947494936,67.37190082644628
compound_0318,Cn1c(=O)c2c(ncn2CC(=O)c2ccc(Cl)cc2)n(C)c1=O,117.66936508733816,57.0
compound_1748,COc1ccc2c(c1OC)C(=O)OC2CC(=O)c1ccccc1O,60.04866898022984,73.22727272727273
compound_1264,O=C1CC(c2ccc(F)c(F)c2)c2cc3c(cc2N1)OCO3,44.19633185486582,109.82296650717704
compound_2848,O=C(CSc1ncnc2sc3c(c12)CCC3)N1CCCCC1,145.7714543163527,84.84363636363636
compound_2913,CCn1nc(C)cc1-c1nnc2sc(C3CCCCC3)nn12,55.74609411149445,86.81818181818181
compound_0126,CCn1nc(C)cc1-c1nnc2sc(Cc3ccccc3)nn12,85.23282639175558,80.0
compound_2934,Cc1ccc2c(c1)N(CC(=O)N(C)C1CCCCC1)C(=O)CO2,99.98154218785638,57.65217391304348
compound_0436,CC(OC(=O)c1cc(-c2ccc(F)cc2)nc2ccccc12)C(N)=O,130.03464046968747,72.0
compound_1425,O=C(Cn1c(=O)oc2ccccc21)Nc1cccc(C(F)(F)F)c1,153.5848683712844,57.0
compound_2139,Cc1nc(NCc2ccco2)cc(-c2cncc(-c3ccccc3)c2)n1,109.6771774793124,76.0
compound_2762,Cc1cc(-c2ccccc2)nc2cc(C(=O)NCc3cccs3)nn12,144.7558472875025,80.0
